Gene,Score
BDKRB1,0.5664
CBR3,0.5662
EEA1,0.5661
FLT3,0.5660
FZD4,0.5660
FZD6,0.5660
FLT3LG,0.5657
TRIM32,0.5656
H3F3B,0.5655
ATP6V0E1,0.5655
LTF,0.5651
GRAP,0.5651
HES1,0.5650
CASP6,0.5648
HCK,0.5647
PRKCQ,0.5647
SLC4A2,0.5647
ANK3,0.5644
GBA,0.5642
CHCHD10,0.5642
ACVR1,0.5641
PPM1B,0.5641
CD55,0.5639
P2RY1,0.5633
HLA-DQA2,0.5632
CCR9,0.5630
MARCKSL1,0.5630
AFG3L2,0.5630
SEC24D,0.5629
NPM1,0.5629
TNFRSF10A,0.5629
NEUROG1,0.5629
CTSH,0.5626
ACVR1B,0.5623
IGFBP4,0.5617
FCGR3B,0.5616
SLC2A3,0.5616
HIP1,0.5615
TNFRSF12A,0.5613
MAIP1,0.5608
EPHA3,0.5607
SERPINC1,0.5603
LIF,0.5602
PPP2CA,0.5599
SERPINB8,0.5599
KCNA2,0.5598
GRIA1,0.5597
NCOR2,0.5597
PLXNB3,0.5594
IDUA,0.5592
CNTN2,0.5590
CUL1,0.5588
SUN2,0.5586
SHC2,0.5586
SEC23A,0.5581
SLC6A6,0.5581
SPAST,0.5579
DUSP4,0.5576
JAG2,0.5575
SP1,0.5574
CXCR5,0.5574
ADORA1,0.5571
PRRT2,0.5570
GPR155,0.5569
NCK1,0.5566
SRPX2,0.5565
SNX9,0.5565
DCN,0.5564
NOTCH2,0.5560
KPNA2,0.5557
SSB,0.5555
ASIC2,0.5555
FREM2,0.5555
HRH2,0.5554
NTNG1,0.5554
DDX58,0.5552
BCAR1,0.5551
TXN2,0.5551
RASGRP1,0.5550
TAOK1,0.5550
HSPA1L,0.5550
NR2F2,0.5549
CYP27B1,0.5548
MFN2,0.5546
ADAM22,0.5543
FOXC1,0.5540
PLCL2,0.5539
SLC1A2,0.5539
OMA1,0.5537
BUB1B,0.5537
RTP4,0.5537
MKNK1,0.5537
YWHAQ,0.5534
MAGT1,0.5534
LOC101930112,0.5533
CEMIP,0.5531
PPP1CA,0.5529
SFRP1,0.5528
FOXG1,0.5528
MYO1A,0.5528
VAMP7,0.5526
AVPR1A,0.5525
CD1D,0.5525
IMPA2,0.5524
GLI2,0.5523
MBP,0.5522
CD96,0.5522
COX6B2,0.5521
PHKA2,0.5521
GABRA1,0.5521
ZNF385A,0.5521
CERCAM,0.5513
ADGRE2,0.5511
CXCR1,0.5511
KLHL12,0.5510
UNC5D,0.5510
FGF5,0.5509
DNAJC3,0.5509
HMOX2,0.5507
CACNG8,0.5507
RFTN1,0.5506
GLUL,0.5506
ADAR,0.5506
VAMP4,0.5505
USH1C,0.5502
RALBP1,0.5501
TXNIP,0.5501
CLDN1,0.5501
SLC19A1,0.5500
IL1RAP,0.5500
LTB,0.5498
GRID2,0.5496
GNB3,0.5496
FXN,0.5492
PERP,0.5492
NCF4,0.5492
PTHLH,0.5490
PPID,0.5490
RYR1,0.5489
ANPEP,0.5488
GPD2,0.5486
SLC11A1,0.5486
MCL1,0.5486
HTR6,0.5485
NEGR1,0.5485
PRKAA1,0.5485
BMPR1B,0.5484
CLDN7,0.5483
CD247,0.5481
MRC1,0.5480
STEAP4,0.5479
ABCG5,0.5479
TK1,0.5476
TNFSF11,0.5476
MLH1,0.5475
GRIA3,0.5474
HSPA6,0.5471
CSNK2B,0.5471
DIAPH1,0.5469
RETREG1,0.5469
FOXP1,0.5467
PLA2G4B,0.5466
FGF3,0.5463
ANXA2,0.5459
DOK1,0.5459
KIF3A,0.5456
FZD3,0.5454
GRK2,0.5451
NKD2,0.5450
CCDC50,0.5448
WRN,0.5446
PER2,0.5446
VAPA,0.5443
PHKA1,0.5442
KIFC3,0.5441
HNF4A,0.5439
PNN,0.5436
ABCG2,0.5435
LTB4R2,0.5435
DGKZ,0.5433
SLC39A14,0.5432
PPP5C,0.5428
ECSIT,0.5425
IFIH1,0.5425
SLITRK1,0.5423
TRHR,0.5423
HMBS,0.5422
NR4A2,0.5421
VPS35,0.5418
DRD1,0.5418
HHEX,0.5418
ATP6AP1,0.5418
CD6,0.5416
ANGPT1,0.5414
SLC8A3,0.5412
TLR3,0.5411
SLC37A4,0.5411
LASP1,0.5410
AREG,0.5409
S100A10,0.5408
RBPJ,0.5408
COL18A1,0.5407
ELANE,0.5407
MYL12B,0.5407
TJP1,0.5407
WNT2,0.5406
GYS1,0.5403
GNG3,0.5402
NEDD4L,0.5401
USH1G,0.5398
SDC2,0.5397
TNFRSF10C,0.5396
RXRB,0.5395
PSAP,0.5393
PAM,0.5393
NLRP3,0.5391
STK11,0.5391
EGLN1,0.5390
FNBP1L,0.5390
MAP3K20,0.5388
PEAK1,0.5387
APEX1,0.5385
DVL1,0.5385
C6,0.5384
SOBP,0.5384
ARHGAP35,0.5384
CTNNBIP1,0.5383
TP53BP2,0.5383
WASF1,0.5383
KCNIP2,0.5382
SNX18,0.5379
SLC14A1,0.5377
ADORA2A,0.5377
PRMT2,0.5377
P2RY6,0.5376
RPE65,0.5376
ANKLE2,0.5374
RHOT1,0.5372
NOX1,0.5372
VAV1,0.5372
PPARGC1A,0.5370
SLC32A1,0.5369
ADAMTS12,0.5367
LITAF,0.5367
KCNMB4,0.5365
GAA,0.5365
PFN1,0.5365
MSH2,0.5364
LCAT,0.5364
TNIK,0.5361
MOAP1,0.5361
CFLAR,0.5361
TCIRG1,0.5358
PLEC,0.5356
CYSLTR1,0.5353
CHRNE,0.5353
CXCL11,0.5352
CALCRL,0.5351
CLDN14,0.5346
SSBP2,0.5344
ACAN,0.5344
LOC100506403,0.5341
CDH3,0.5339
NOD2,0.5339
PAX6,0.5338
CACNG7,0.5336
CTLA4,0.5335
DLG4,0.5335
FBLIM1,0.5334
ALDH2,0.5332
CHCHD4,0.5331
B4GALT1,0.5330
TRIP10,0.5330
SLC25A12,0.5329
COX8C,0.5328
C1QB,0.5327
IL2RB,0.5326
LIPA,0.5326
THOC1,0.5326
ESR2,0.5321
ST14,0.5320
RHOD,0.5319
GRIA2,0.5318
IKBKE,0.5316
THY1,0.5315
IL3RA,0.5315
HEXA,0.5313
RCC2,0.5313
MICALL1,0.5312
CHEK2,0.5311
LIMK2,0.5307
PTGFR,0.5303
E2F1,0.5301
NUPR1,0.5299
LMO7,0.5298
CREB3L1,0.5297
RASSF1,0.5297
LSP1,0.5297
RIPOR2,0.5296
HADHB,0.5295
REEP6,0.5293
P2RX6,0.5293
IL1RN,0.5292
CD7,0.5291
KIF20A,0.5291
FOLR1,0.5288
COL4A3,0.5285
ZAP70,0.5285
IL7,0.5282
F7,0.5280
PITX2,0.5280
FGF4,0.5279
VANGL2,0.5279
RRAGA,0.5278
PACSIN1,0.5276
NODAL,0.5275
TNFAIP3,0.5275
MRAS,0.5274
KRT8,0.5272
CNGB1,0.5272
MYO3A,0.5271
EHD1,0.5269
LOXHD1,0.5269
IL12RB2,0.5267
GAD2,0.5266
FOSB,0.5265
CSF3,0.5261
FHL2,0.5260
KCNJ8,0.5260
PLIN2,0.5257
EFNB1,0.5257
CLEC7A,0.5257
SCN4B,0.5256
ARID5B,0.5249
TLR2,0.5248
TNNC1,0.5248
LOC112267931,0.5247
EPHB2,0.5247
CYP1B1,0.5246
UBC,0.5244
MSI1,0.5243
MARVELD2,0.5243
CSNK1E,0.5243
ARHGEF12,0.5242
CHRM4,0.5241
SLC25A6,0.5239
CTBP2,0.5239
CAMP,0.5238
SSTR4,0.5238
DRAM2,0.5238
MAP4K3,0.5237
SLC25A13,0.5237
P2RY13,0.5236
SCN3B,0.5235
FOXL2,0.5235
IGFBP3,0.5235
HTR4,0.5233
SLIT3,0.5232
CCL28,0.5230
ANXA9,0.5229
TSPO,0.5229
PLEKHA1,0.5228
ATP1A1,0.5226
XPC,0.5225
ID3,0.5224
LILRB3,0.5223
DRD5,0.5223
GABRB3,0.5223
PPIB,0.5222
EPAS1,0.5221
CHRNG,0.5220
KCNH2,0.5216
PLOD1,0.5214
KCNK3,0.5214
MEF2A,0.5214
CLN3,0.5213
OFD1,0.5211
SLC22A5,0.5211
NRP2,0.5210
BLOC1S2,0.5207
AGK,0.5206
IFI16,0.5205
DLL3,0.5205
PLAUR,0.5204
DDB1,0.5201
IL21R,0.5201
FBXO2,0.5200
SCD,0.5200
TIMM50,0.5200
SLC34A2,0.5200
ICAM2,0.5200
INHBB,0.5199
TNFSF13B,0.5194
C2,0.5194
C1R,0.5193
OPRD1,0.5193
ASCC3,0.5190
VDAC3,0.5190
FAT2,0.5190
PHKB,0.5190
CTC1,0.5189
CYSLTR2,0.5189
C1QA,0.5188
PIK3C2A,0.5180
ID1,0.5180
PPP2R5D,0.5179
ELK3,0.5179
TWIST1,0.5178
TRIB3,0.5176
TNFRSF9,0.5171
DAD1,0.5170
VPS41,0.5170
ADCY4,0.5169
GPHN,0.5168
ID2,0.5167
DUSP10,0.5167
CHMP5,0.5166
TAF4B,0.5166
PLEKHA7,0.5165
CRHR2,0.5163
CEACAM8,0.5162
RAPGEF2,0.5161
DDR2,0.5161
C7,0.5159
NME1,0.5159
PTPRT,0.5159
FLT4,0.5159
BSCL2,0.5158
CRYM,0.5157
IREB2,0.5157
NOL3,0.5157
NPY5R,0.5156
SDC4,0.5156
NPY1R,0.5155
PKD1,0.5155
PRKCE,0.5153
ZFPM1,0.5153
CBLL1,0.5151
GLA,0.5150
SEC63,0.5149
PMCH,0.5147
SEC24A,0.5146
KLF2,0.5143
ADGRL3,0.5143
TNFAIP6,0.5142
TGM2,0.5141
MAGED1,0.5140
COL27A1,0.5139
PIM1,0.5137
UCP1,0.5137
CDC25C,0.5137
CLDN11,0.5132
NAIF1,0.5132
PPT1,0.5132
C1S,0.5130
DUSP7,0.5130
GH1,0.5130
TBK1,0.5129
MAD2L1,0.5129
DUSP8,0.5127
CLIC5,0.5125
LRP8,0.5123
GCGR,0.5123
TPRN,0.5121
TICAM1,0.5119
SCN5A,0.5118
FGF12,0.5117
DLD,0.5117
VDAC2,0.5115
IMMT,0.5114
ARPC4,0.5113
DHX9,0.5113
PRSS3,0.5110
PHEX,0.5110
MYO5A,0.5109
SFN,0.5108
RNASEL,0.5108
FLOT2,0.5108
PLCD3,0.5107
CHMP2A,0.5105
PHKG2,0.5105
CUX1,0.5103
SDC3,0.5103
KLF5,0.5103
ASCL2,0.5103
DUSP9,0.5102
CHD2,0.5101
MARCKS,0.5101
ATG7,0.5101
TGIF1,0.5100
CTF1,0.5099
NUAK1,0.5097
KCNN4,0.5096
ABCC4,0.5096
TRPC1,0.5094
C12ORF57,0.5093
ADORA3,0.5089
LTB4R,0.5089
JMJD6,0.5089
EIF2S1,0.5087
E2F3,0.5086
ARG1,0.5085
SKP2,0.5085
YWHAB,0.5082
SMARCB1,0.5082
CCL25,0.5081
SCP2,0.5080
CRHR1,0.5077
TMEM8B,0.5077
FGF13,0.5077
FZD9,0.5077
MR1,0.5075
PTGER4,0.5073
SHANK3,0.5073
APOL1,0.5072
TNFRSF25,0.5070
VIP,0.5069
FSHB,0.5069
PRKAR2A,0.5068
UBE2B,0.5068
CHI3L1,0.5068
VMP1,0.5067
AGGF1,0.5064
F2RL3,0.5064
CFTR,0.5063
JAML,0.5063
CDC7,0.5062
CA2,0.5062
CHRNA5,0.5061
ANGPTL4,0.5061
LOC101929777,0.5059
FBXW7,0.5059
TF,0.5058
OCRL,0.5058
IFNA2,0.5058
PDCD1,0.5056
ATR,0.5054
NR1H2,0.5054
ITPKA,0.5054
USF1,0.5054
AIM2,0.5053
ABHD5,0.5052
ATXN1,0.5051
IL5RA,0.5051
SEC24C,0.5050
MGLL,0.5050
ADIPOR2,0.5048
HSPB8,0.5048
PEX14,0.5048
KCNQ2,0.5045
SIAH1,0.5044
GHSR,0.5044
CNTN1,0.5044
PTCHD1,0.5043
KDM5A,0.5043
CTNNA2,0.5043
CGA,0.5042
KAT2B,0.5042
SGCB,0.5042
DUSP3,0.5042
SLC6A8,0.5041
TRAF3,0.5039
PLCD4,0.5039
SPECC1L,0.5037
COL4A5,0.5036
TAOK3,0.5036
NEUROD1,0.5035
GABRA4,0.5033
PIKFYVE,0.5032
WNT7B,0.5032
IL15RA,0.5032
CDH24,0.5032
GNA15,0.5030
TIFAB,0.5030
TIMM10,0.5029
ZC3H12A,0.5027
PDCD6IP,0.5026
TRAF5,0.5025
C4A,0.5025
SLC3A2,0.5025
LAMTOR3,0.5025
KCNA4,0.5023
MAP4K2,0.5022
CFB,0.5019
RSAD2,0.5018
ABCA3,0.5018
CLDN9,0.5018
NPC2,0.5015
S1PR3,0.5013
GAD1,0.5013
SLITRK3,0.5012
CABP4,0.5010
SGPL1,0.5009
YWHAZ,0.5008
RTL10,0.5007
ATN1,0.5005
SOX13,0.5005
CHRNA9,0.5005
WHRN,0.5004
YWHAG,0.5004
DUSP14,0.5002
YWHAE,0.5001
FCER2,0.5001
